movie_id,domestic_revenue,international_revenue,worldwide_revenue
tt0144084,7000000,15070285,19196279
tt0144117,6000000,30471,0
tt0144120,25000000,32400658,18288000
tt0144142,3000000,40361,0
tt0144214,95000000,102705852,47000000
tt0144528,84000000,123309890,43030000
tt0144640,20000000,10570375,0
tt0144814,21000000,17762705,0
tt0144964,25000000,12811858,3031750
tt0145487,139000000,407022860,418002176
tt0145531,29000000,50046268,39400000
tt0145653,50000000,13042112,0
tt0145660,33000000,206040086,105976842
tt0145681,73000000,66518655,84975000
tt0145734,20000000,3970078,0
tt0145893,6000000,4398989,0
tt0146309,80000000,34592089,31987801
tt0146316,115000000,131168070,143535270
tt0146336,14000000,38072438,34455157
tt0146675,100000000,66889043,145100000
tt0146838,55000000,75530832,24700000
tt0146882,30000000,27287137,19839158
tt0146984,80000000,30919168,8540259
tt0147800,30000000,38178166,15300000
tt0149261,60000000,73648142,91000000
tt0149367,28000000,5661798,1788616
tt0149624,57000000,15540353,2593142
tt0149691,23000000,18670401,4961528
tt0150216,36000000,2903404,83528
tt0150377,70000000,116741558,61100000
tt0151137,85000000,14276317,52700000
tt0151738,25000000,55474756,29090474
tt0151804,10000000,10827810,0
tt0154506,6000,48482,0
tt0155267,48000000,69305181,55000000
tt0155753,30000000,12214338,0
tt0155776,3500000,3117085,0
tt0155975,60000000,21485655,15685000
tt0156096,2000000,117471,0
tt0156323,10000000,7027345,174356
tt0156812,6000000,34134641,1413120
tt0156841,25000000,14990582,9372190
tt0156934,64000000,31502583,43105987
tt0157472,26000000,36989956,1803327
tt0157503,15000000,10571408,0
tt0158583,800000,145071,0
tt0158622,83000000,35268275,24200000
tt0158811,24000000,16625807,5697805
tt0158983,21000000,52037603,31100000
tt0159097,9000000,4906229,5503148
tt0159273,40000000,58856790,32896412
tt0159365,79000000,95636509,77377000
tt0159421,26000000,11683047,0
tt0160009,60000000,30208599,10191826
tt0160127,93000000,125305545,138800000
tt0160184,55000000,79161,6553222
tt0160236,70000000,9974410,0
tt0160399,30000000,6285176,2409144
tt0160429,25000000,11993021,0
tt0160484,50000000,16815253,14540657
tt0160797,60000000,61335230,10397073
tt0160862,10000000,63366989,39800000
tt0160916,50000000,27100031,31800000
tt0161081,100000000,155464351,135956000
tt0161083,60000000,32269834,6194297
tt0161100,6000000,25059640,0
tt0162222,90000000,233632142,196000000
tt0162346,7000000,6217849,2546158
tt0162360,2500000,1955933,0
tt0162650,46000000,70334258,37291867
tt0162661,100000000,101071502,105000000
tt0162677,22000000,19288130,0
tt0162983,60000000,36050230,15829814
tt0163025,93000000,181171875,187608934
tt0163187,70000000,152257509,157202783
tt0163579,70000000,11263966,524710
tt0163651,11000000,102561004,132922000
tt0163676,24000000,5280035,0
tt0163978,50000000,39785027,104271846
tt0163983,65000000,29381494,11061516
tt0163988,55000000,16797191,0
tt0164052,95000000,73209340,117004115
tt0164085,10000000,2160710,0
tt0164108,15000000,11614954,55607
tt0164114,8500000,17845337,4748072
tt0164181,12000000,21142914,0
tt0164184,68000000,118907036,75014336
tt0164212,25000000,260562,1047680
tt0164334,60000000,74078174,31100387
